smiles,catalog_id,vendor
CC(=O)Oc1ccccc1C(=O)O,DEMO001,DemoVendor
CC(C)Cc1ccc(C(C)C(=O)O)cc1,DEMO002,DemoVendor
Cn1c(=O)c2c(ncn2C)n(C)c1=O,DEMO003,DemoVendor
CC(=O)Nc1ccc(O)cc1,DEMO004,DemoVendor
O=C(O)c1ccccc1,DEMO005,DemoVendor
Oc1cccc2ccccc12,DEMO006,DemoVendor
CC1=CC(=O)C=CC1=O,DEMO007,DemoVendor
O=Cc1ccc(O)cc1,DEMO008,DemoVendor
Oc1ccccc1O,DEMO009,DemoVendor
Oc1cccc(O)c1,DEMO010,DemoVendor
Oc1ccc(O)c(O)c1,DEMO011,DemoVendor
COc1ccc(O)cc1,DEMO012,DemoVendor
Cc1cccc(O)c1O,DEMO013,DemoVendor
N=C(N)NCCCC(N)C(=O)O,DEMO014,DemoVendor
NCCCCC(N)C(=O)O,DEMO015,DemoVendor
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,DEMO016,DemoVendor
CN(C)CCOC(c1ccccc1)c1ccccc1,DEMO017,DemoVendor
CC(C)NCC(O)COc1cccc2ccccc12,DEMO018,DemoVendor
O=C(O)c1ccccc1O,DEMO019,DemoVendor
CC(=O)c1ccccc1,DEMO020,DemoVendor
O=Cc1ccccc1,DEMO021,DemoVendor
CCOC(=O)c1ccccc1,DEMO022,DemoVendor
CC(CS)C(=O)N1CCCC1C(=O)O,DEMO023,DemoVendor
CSc1ncccn1,DEMO024,DemoVendor
O=C(O)c1ccc(O)cc1,DEMO025,DemoVendor
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,DEMO026,DemoVendor
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,DEMO027,DemoVendor
NC(Cc1c[nH]c2ccccc12)C(=O)O,DEMO028,DemoVendor
CC(C)CC(N)C(=O)O,DEMO029,DemoVendor
CSCCC(N)C(=O)O,DEMO030,DemoVendor
O=C(O)CCCC(=O)O,DEMO031,DemoVendor
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,DEMO032,DemoVendor
Nc1ncnc2nc[nH]c12,DEMO033,DemoVendor
Cn1c(=O)c2[nH]cnc2n(C)c1=O,DEMO034,DemoVendor
Nc1ccnc(N)n1,DEMO035,DemoVendor
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,DEMO036,DemoVendor
COc1ccc(CC(N)C(=O)O)cc1,DEMO037,DemoVendor
CC(C)C(N)C(=O)O,DEMO038,DemoVendor
NCc1ccccc1,DEMO039,DemoVendor
CCNc1ccccc1,DEMO040,DemoVendor
Cc1ccc(O)c(O)c1,DEMO041,DemoVendor
O=c1ccc2ccccc2o1,DEMO042,DemoVendor
c1ccc2occc2c1,DEMO043,DemoVendor
c1ccc2[nH]ccc2c1,DEMO044,DemoVendor
c1ccc2ncccc2c1,DEMO045,DemoVendor
CC(=O)c1ccc(O)cc1,DEMO046,DemoVendor
Nc1ccc(C(=O)O)cc1,DEMO047,DemoVendor
Nc1ccc(O)cc1,DEMO048,DemoVendor
CC(C)Cc1ccc(O)cc1,DEMO049,DemoVendor
CCc1ccc(O)cc1,DEMO050,DemoVendor
COc1cccc(O)c1,DEMO051,DemoVendor
Oc1ccc2ccccc2c1,DEMO052,DemoVendor
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,DEMO053,DemoVendor
CCOC(=O)c1ccc(O)cc1,EXT001,DemoVendor
Cc1ccc(O)cc1O,EXT002,DemoVendor
NCCc1ccc(O)cc1,EXT003,DemoVendor
O=C(O)c1cccc(O)c1O,EXT004,DemoVendor
