catalog_id,smiles,vendor,natural_product_like
m_274552____23414854____15960416____25033454,CC1(F)CCCCN(C(=O)CO[C@@H]2CCN(C(=O)[C@@H](O)CC3CC3)C2)C1,Enamine_REAL,false
m_274552____24795932____15959470____15975844,CC(C)(C)CCCCNC(=O)C1CC(CNC(=O)[C@]23COC[C@H]2C3)C1,Enamine_REAL,true
m_275592____45915074____23208212____21837988,CC1CCCC=C1C(=O)N1C[C@@H](NC(=O)C[C@@H](C)O)C[C@H]1C,Enamine_REAL,true
m_274552____23520868____13184882____15982848,C=C1CC(CNC(=O)C2=CC(OC)=CN=C2)(C(=O)NCCC)C1,Enamine_REAL,false
s_240690____18181556____11411558,CC1=C(C(=O)N2CCN(C3=NC(Br)=CS3)CC2)N=NN1[C@@H]1CCNC1,Enamine_REAL,false
m_274552____23521672____15964520____15984982,CC(N(C)C(=O)C[C@H]1CCC[C@@H](NC(=O)C2=COC(CO)=C2)C1)C(C)(C)O,Enamine_REAL,true
m_275592____20026932____15843832____15855816,C#CCC1(C(=O)NC[C@H]2CC[C@H]2NC(=O)CC2=CNC=C2)CCCCO1,Enamine_REAL,true
m_280710____31596900____44051010____31800646,O=C(CCC(F)(F)C(=O)NCC1COC2(CC2)C1)NCC1CC2CCC1CC2,Enamine_REAL,true
m_275550____18176490____16730940____28842110,COC1=C(CN(CCCOC2=CC(F)=CC=C2)C(=O)C2=CC=CC=C2)C(C(C)C)=NN1C,Enamine_REAL,false
m_275592____18751926____14141960____15858524,COC1=CC=C(N)C(C(=O)NC2CC3(C2)CN(C(=O)C2=NC(OC)=NC=C2)C3)=C1,Enamine_REAL,false
m_275592____21824256____14139232____15860992,CC1(C)CCCC(C(=O)N[C@H]2CC[C@H](CNC(=O)C(=O)NCC(F)F)CC2)CC1,Enamine_REAL,false
s_22____26254242____59684,CC1=CC(OCCCC(=O)NCC(O)C2=CC(S(C)(=O)=O)=CC=C2)=CC=C1Cl,Enamine_REAL,false
m_274552____23522196____15946398____15979286,CC[C@H](CC(=O)NCCN=[N+]=[N-])NC(=O)COC1CC1,Enamine_REAL,false
m_275592____14114740____21825894____15857586,COC1(C(=O)N[C@H]2[C@@H]3CN(C(=O)CC4(C#N)CC4)C[C@@H]32)CC(C)C1,Enamine_REAL,true
s_11____22166284____47913138,COC1=CN=CC=C1CNC(=O)C1CCC2(CCC(F)(F)CC2)C1,Enamine_REAL,false
m_282030____21921344____23157420____21939820,CCSCC1CCN(C2=NN=C(NCC3=CC=C(C)N=C3OC)C3=CC=CC=C32)CC1,Enamine_REAL,false
m_282151____51209096____25158568____25268276,C=C=CCCCN(C/C1=C/CCCCCC1)C(=O)CCOC1COC1,Enamine_REAL,true
m_275592____14115000____14137838____46297044,C=C(C(=O)N1CCCC(CO)(NC(=O)C2=CN(CC3CC3)N=N2)C1)C(C)(C)C,Enamine_REAL,false
m_282151____25170616____28635726____25256590,C=CCCN(CCC1(C)CCCC1)C(=O)CC=CC,Enamine_REAL,true
m_274552____23519732____24965678____15984440,C[C@@H]1C[C@H](F)CN1C(=O)[C@@]1(NC(=O)C2=C3C=CC=CN3N=C2)C[C@H]1C,Enamine_REAL,false
m_275592____15865164____18992678____15858808,CCC(C)(OC)C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)C1=CC(C3CC3)=CS1)C2,Enamine_REAL,false
m_279130____28137104____28142888____28195494,CCOC(=O)C1(N2C=C(CC(C)NC(=O)[C@H](C)CC3=CC=C(C)C=C3)N=N2)CCC1,Enamine_REAL,false
m_282030____21890364____28988312____21951558,CSCCN(C)C1=C2SC(C)=CC2=NC(N2C[C@H](CO)[C@@H](C3CC3)C2)=N1,Enamine_REAL,false
m_274552____46593026____15960676____25056312,C[C@H](C(=O)NCCC1CC=CC1)[C@@H](C)NC(=O)CC1CCOC1(C)C,Enamine_REAL,true
m_275592____14114872____14135542____25326920,COC1=CC=C(C(=O)NCC(NC(=O)[C@H]2[C@H](C(C)=O)C2(C)C)C(C)C)C=C1,Enamine_REAL,false
m_275592____27188168____18934004____15864194,CN(CC(C)(C)NC(=O)C12CC(C)(C1)C2)C(=O)CC1CC(O)C12CCC2,Enamine_REAL,true
m_274552____23522740____15968090____13454504,CC1=NC=C2CN(C(=O)CC[C@H](NC(=O)CC3=NN(C)C=C3)C(C)C)CCN21,Enamine_REAL,false
m_274552____23520028____25018334____15983102,CCC1=C(C(=O)N[C@@H]2CC[C@H](CC(=O)N(C)C(CC)COC)C2)CCCO1,Enamine_REAL,false
m_281630____27209160____21624876____20772944,C=CCC1(C(C2=NN=NN2CCOCC)N(C)[C@@H]2C[C@H]3CC[C@@H]2O3)CCOCC1,Enamine_REAL,false
m_274552____18977472____13185888____13454368,NC(=O)C(O)CNC(=O)C[C@H]1CC[C@H](NC(=O)C2=CCOCC2)CC1,Enamine_REAL,false
m_274552____23519282____25011124____15976290,CC(C)OC(=O)[C@H](C)NC(=O)C1(CNC(=O)[C@@H]2COC(=O)N2)CC12CCC2,Enamine_REAL,true
